"Retailer_ID","recency","frequency","monetary","r_score","f_score","m_score","total_rfm_score","segmentasi"
RTL1521,314,1,9306.9,1,1,1,3,lost
RTL3681,222,3,25586.91,2,1,1,4,lost
RTL3139,193,1,11165.94,2,1,1,4,lost
RTL1170,139,3,15749.52,3,1,1,5,hibernating
RTL3796,526,1,15.55,1,1,1,3,lost
RTL2333,410,1,8154.09,1,1,1,3,lost
RTL1772,101,5,3791507.61,3,1,4,8,at risk
RTL2165,10,4,7185.58,4,1,1,6,hibernating
RTL4874,185,3,6867.28,2,1,1,4,lost
RTL3678,178,5,12455.07,2,1,1,4,lost
RTL2233,150,4,5924.98,3,1,1,5,hibernating
RTL3252,157,1,1556.83,2,1,1,4,lost
RTL3468,332,1,3272.72,1,1,1,3,lost
RTL1793,684,1,555.68,1,1,1,3,lost
RTL1184,594,1,8283.0,1,1,1,3,lost
RTL3418,302,2,16808.57,1,1,1,3,lost
RTL2215,110,4,18960.47,3,1,1,5,hibernating
RTL2171,209,4,1561675.78,2,1,4,7,at risk
RTL4873,10,5,19842.17,4,1,1,6,hibernating
RTL4030,389,1,4269.45,1,1,1,3,lost
RTL4646,105,4,7007.45,3,1,1,5,hibernating
RTL4286,33,5,30567.49,4,1,1,6,hibernating
RTL2860,399,1,6343.62,1,1,1,3,lost
RTL1705,373,2,10120.39,1,1,1,3,lost
RTL1891,89,3,4451.93,3,1,1,5,hibernating
RTL3673,201,3,19799.96,2,1,1,4,lost
RTL1669,37,1,3216.56,4,1,1,6,hibernating
RTL1600,258,1,9103.84,2,1,1,4,lost
RTL1872,261,4,13705.66,2,1,1,4,lost
RTL3561,324,3,14178.7,1,1,1,3,lost
RTL2186,456,1,387.18,1,1,1,3,lost
RTL1060,523,1,1737.33,1,1,1,3,lost
RTL1701,44,2,110869.14,4,1,3,8,at risk
RTL2073,273,1,13747.9,2,1,1,4,lost
RTL3938,150,2,15208.48,3,1,1,5,hibernating
RTL1533,359,3,13446.94,1,1,1,3,lost
RTL4268,24,7,2553218.34,4,1,4,9,loyal
RTL3143,278,2,1482859.36,2,1,4,7,at risk
RTL1778,272,2,18834.03,2,1,1,4,lost
RTL4844,271,3,1696307.33,2,1,4,7,at risk
RTL4816,6,5,33444.0,4,1,1,6,hibernating
RTL2470,125,6,19419.03,3,1,1,5,hibernating
RTL1157,289,2,6534.15,2,1,1,4,lost
RTL1723,206,3,2421.95,2,1,1,4,lost
RTL1043,200,4,23446.43,2,1,1,4,lost
RTL3374,204,2,2986.36,2,1,1,4,lost
RTL2863,571,2,10558.31,1,1,1,3,lost
RTL4459,351,4,13450.78,1,1,1,3,lost
RTL1214,357,2,1645.42,1,1,1,3,lost
RTL3558,206,2,16156.08,2,1,1,4,lost
RTL1191,279,4,19753.78,2,1,1,4,lost
RTL4466,721,1,2059.97,1,1,1,3,lost
RTL1488,60,3,13518.45,3,1,1,5,hibernating
RTL1161,293,1,14307.19,2,1,1,4,lost
RTL4003,313,2,3141.65,1,1,1,3,lost
RTL1813,188,5,16038.58,2,1,1,4,lost
RTL3654,304,1,3448.75,1,1,1,3,lost
RTL4703,18,3,1226.84,4,1,1,6,hibernating
RTL4348,244,1,11893.34,2,1,1,4,lost
RTL2125,212,2,3879.06,2,1,1,4,lost
RTL1516,183,1,583.02,2,1,1,4,lost
RTL1734,232,2,3429.6,2,1,1,4,lost
RTL4384,303,1,8499.25,1,1,1,3,lost
RTL4044,365,1,85.32,1,1,1,3,lost
RTL1884,28,3,7303.79,4,1,1,6,hibernating
RTL3660,667,2,27948.31,1,1,1,3,lost
RTL4502,60,6,25814.82,3,1,1,5,hibernating
RTL4742,326,2,2405.45,1,1,1,3,lost
RTL4145,319,2,1640.92,1,1,1,3,lost
RTL2189,220,3,682804.11,2,1,4,7,at risk
RTL2213,42,2,3293.69,4,1,1,6,hibernating
RTL4980,537,1,10350.1,1,1,1,3,lost
RTL4337,621,1,2150.15,1,1,1,3,lost
RTL1189,164,5,18967.97,2,1,1,4,lost
RTL4990,226,3,21449.87,2,1,1,4,lost
RTL4125,22,3,4186.47,4,1,1,6,hibernating
RTL3391,237,3,21478.26,2,1,1,4,lost
RTL4381,379,1,2232.56,1,1,1,3,lost
RTL3419,241,3,991756.8,2,1,4,7,at risk
RTL4983,538,2,4013.81,1,1,1,3,lost
RTL3145,324,1,1529.08,1,1,1,3,lost
RTL4884,177,4,14593.08,2,1,1,4,lost
RTL4085,305,2,15817.67,1,1,1,3,lost
RTL2529,279,1,284.36,2,1,1,4,lost
RTL2029,172,5,9544.81,2,1,1,4,lost
RTL2116,734,2,330.83,1,1,1,3,lost
RTL4851,55,3,2296.44,3,1,1,5,hibernating
RTL4052,206,2,5777.1,2,1,1,4,lost
RTL2882,359,1,1173.69,1,1,1,3,lost
RTL2592,63,2,615.22,3,1,1,5,hibernating
RTL4700,381,1,2576.56,1,1,1,3,lost
RTL1437,715,1,8882.46,1,1,1,3,lost
RTL3777,110,3,14794.95,3,1,1,5,hibernating
RTL4662,52,6,7465.29,3,1,1,5,hibernating
RTL4024,364,3,7846.94,1,1,1,3,lost
RTL4866,42,3,11867.05,4,1,1,6,hibernating
RTL4877,276,3,10242.05,2,1,1,4,lost
RTL1430,329,2,5782.67,1,1,1,3,lost
RTL2020,196,5,21532.7,2,1,1,4,lost
RTL4144,71,5,14628.51,3,1,1,5,hibernating
RTL1066,120,3,11652.52,3,1,1,5,hibernating
RTL3813,111,2,5163.7,3,1,1,5,hibernating
RTL4643,199,2,1721.4,2,1,1,4,lost
RTL4430,48,4,22187.32,4,1,1,6,hibernating
RTL2791,832,1,3743.84,1,1,1,3,lost
RTL4905,332,2,14343.04,1,1,1,3,lost
RTL1928,229,3,932.2,2,1,1,4,lost
RTL1025,266,2,1136.11,2,1,1,4,lost
RTL2182,485,3,10106.57,1,1,1,3,lost
RTL3421,360,2,8415.72,1,1,1,3,lost
RTL4900,186,1,4975.83,2,1,1,4,lost
RTL1153,231,3,9009.39,2,1,1,4,lost
RTL1998,292,2,5261.15,2,1,1,4,lost
RTL1207,146,5,17720.35,3,1,1,5,hibernating
RTL2865,839,1,151.97,1,1,1,3,lost
RTL1703,290,3,18328.29,2,1,1,4,lost
RTL2123,752,1,343.22,1,1,1,3,lost
RTL1656,626,2,17959.13,1,1,1,3,lost
RTL3300,90,5,38730.65,3,1,1,5,hibernating
RTL3055,281,3,8164.18,2,1,1,4,lost
RTL3393,241,2,961.34,2,1,1,4,lost
RTL3073,23,5,19338.32,4,1,1,6,hibernating
RTL4341,104,3,1903905.15,3,1,4,8,at risk
RTL2752,785,1,9688.3,1,1,1,3,lost
RTL4531,115,3,12584.58,3,1,1,5,hibernating
RTL4829,72,4,18242.53,3,1,1,5,hibernating
RTL2721,412,3,6053.95,1,1,1,3,lost
RTL1088,339,2,6187.5,1,1,1,3,lost
RTL1493,87,1,1873.84,3,1,1,5,hibernating
RTL2380,73,3,4838.64,3,1,1,5,hibernating
RTL2370,58,5,11909.98,3,1,1,5,hibernating
RTL2633,617,2,12965.62,1,1,1,3,lost
RTL3220,441,2,1572.24,1,1,1,3,lost
RTL1195,222,2,9146.36,2,1,1,4,lost
RTL1733,23,4,19189.49,4,1,1,6,hibernating
RTL4557,767,1,10834.45,1,1,1,3,lost
RTL4298,164,1,9200.88,2,1,1,4,lost
RTL1132,314,2,5919.62,1,1,1,3,lost
RTL3272,56,1,50.58,3,1,1,5,hibernating
RTL4731,272,2,19769.39,2,1,1,4,lost
RTL1671,411,2,2533.18,1,1,1,3,lost
RTL1741,63,4,16196.39,3,1,1,5,hibernating
RTL1691,732,1,189.49,1,1,1,3,lost
RTL2446,141,3,2565.31,3,1,1,5,hibernating
RTL3187,723,1,4341.5,1,1,1,3,lost
RTL3658,208,7,20725.01,2,1,1,4,lost
RTL1489,213,3,18710.82,2,1,1,4,lost
RTL2875,201,4,20902.69,2,1,1,4,lost
RTL4423,353,1,2675.88,1,1,1,3,lost
RTL3672,127,1,1275.26,3,1,1,5,hibernating
RTL2489,293,1,659.98,2,1,1,4,lost
RTL1988,289,1,5066.36,2,1,1,4,lost
RTL2389,94,3,7932.74,3,1,1,5,hibernating
RTL3963,103,2,194.54,3,1,1,5,hibernating
RTL1147,56,4,11171.22,3,1,1,5,hibernating
RTL3407,540,1,530.56,1,1,1,3,lost
RTL3218,255,2,5724.84,2,1,1,4,lost
RTL3465,205,5,33372.12,2,1,1,4,lost
RTL1190,22,2,11078.45,4,1,1,6,hibernating
RTL3509,451,1,272.96,1,1,1,3,lost
RTL4594,209,3,2306.54,2,1,1,4,lost
RTL3832,383,1,125.99,1,1,1,3,lost
RTL3949,90,3,4671.55,3,1,1,5,hibernating
RTL3216,207,2,1010.32,2,1,1,4,lost
RTL2288,433,1,549.31,1,1,1,3,lost
RTL3642,576,1,426.36,1,1,1,3,lost
RTL1531,56,4,12221.66,3,1,1,5,hibernating
RTL2250,452,1,29.43,1,1,1,3,lost
RTL3667,64,1,3838.4,3,1,1,5,hibernating
RTL3376,246,2,15733.74,2,1,1,4,lost
RTL4701,33,4,26161.33,4,1,1,6,hibernating
RTL2971,357,3,11390.77,1,1,1,3,lost
RTL2053,238,1,35.83,2,1,1,4,lost
RTL2406,131,4,14731.14,3,1,1,5,hibernating
RTL2801,56,3,27775.85,3,1,1,5,hibernating
RTL4106,103,5,5378.39,3,1,1,5,hibernating
RTL4070,17,5,24680.89,4,1,1,6,hibernating
RTL4017,62,3,9548.47,3,1,1,5,hibernating
RTL2170,260,2,21309.96,2,1,1,4,lost
RTL1753,115,4,21097.79,3,1,1,5,hibernating
RTL2974,271,3,558523.39,2,1,4,7,at risk
RTL4966,119,3,7030.06,3,1,1,5,hibernating
RTL4090,258,4,2075.45,2,1,1,4,lost
RTL3827,223,2,4331.14,2,1,1,4,lost
RTL4894,198,5,1042576.32,2,1,4,7,at risk
RTL4364,107,4,11540.3,3,1,1,5,hibernating
RTL3262,296,1,3029.76,2,1,1,4,lost
RTL3221,807,1,978.63,1,1,1,3,lost
RTL3506,756,1,1967.3,1,1,1,3,lost
RTL2945,626,1,8023.62,1,1,1,3,lost
RTL4117,79,3,1706.14,3,1,1,5,hibernating
RTL1018,448,2,5052.32,1,1,1,3,lost
RTL2428,305,2,13413.64,1,1,1,3,lost
RTL1953,230,6,1360220.06,2,1,4,7,at risk
RTL1141,225,3,745.32,2,1,1,4,lost
RTL3752,207,5,22930.36,2,1,1,4,lost
RTL1607,256,4,15452.82,2,1,1,4,lost
RTL1405,200,1,4219.64,2,1,1,4,lost
RTL2225,80,2,7904.15,3,1,1,5,hibernating
RTL1603,226,4,9814.78,2,1,1,4,lost
RTL2707,393,2,2903.45,1,1,1,3,lost
RTL4065,228,3,4952.53,2,1,1,4,lost
RTL4319,206,1,13997.76,2,1,1,4,lost
RTL3168,111,2,222.65,3,1,1,5,hibernating
RTL4783,784,1,5056.45,1,1,1,3,lost
RTL4955,321,2,12938.06,1,1,1,3,lost
RTL1935,359,1,1225.49,1,1,1,3,lost
RTL2292,82,4,22948.68,3,1,1,5,hibernating
RTL1304,350,2,3113.98,1,1,1,3,lost
RTL2400,389,1,1926.48,1,1,1,3,lost
RTL4470,255,2,377711.3,2,1,4,7,at risk
RTL1165,13,5,12454.27,4,1,1,6,hibernating
RTL4412,267,5,40704.72,2,1,1,4,lost
RTL4533,447,2,4197.62,1,1,1,3,lost
RTL4467,201,3,10873.99,2,1,1,4,lost
RTL3194,3,3,4990.41,4,1,1,6,hibernating
RTL2302,520,3,12790.21,1,1,1,3,lost
RTL2176,51,3,20585.2,3,1,1,5,hibernating
RTL1274,278,2,9702.68,2,1,1,4,lost
RTL3912,224,4,17522.17,2,1,1,4,lost
RTL2207,31,4,9788.5,4,1,1,6,hibernating
RTL2296,158,5,23045.63,2,1,1,4,lost
RTL3985,56,4,3464.08,3,1,1,5,hibernating
RTL4940,121,4,2939.9,3,1,1,5,hibernating
RTL3945,37,2,17996.74,4,1,1,6,hibernating
RTL4323,317,2,4795.04,1,1,1,3,lost
RTL2429,117,1,1440.01,3,1,1,5,hibernating
RTL4299,749,1,2325.51,1,1,1,3,lost
RTL2492,115,3,10269.1,3,1,1,5,hibernating
RTL1497,741,1,13013.95,1,1,1,3,lost
RTL3271,67,1,8672.02,3,1,1,5,hibernating
RTL4601,205,2,3322.91,2,1,1,4,lost
RTL2374,343,2,7558.65,1,1,1,3,lost
RTL2367,160,4,21739.9,2,1,1,4,lost
RTL3269,605,1,7973.25,1,1,1,3,lost
RTL3512,68,6,17657.06,3,1,1,5,hibernating
RTL2325,75,4,34731.2,3,1,1,5,hibernating
RTL2209,325,1,7471.53,1,1,1,3,lost
RTL3379,224,4,8316.82,2,1,1,4,lost
RTL2775,342,2,2859.7,1,1,1,3,lost
RTL2247,61,1,3539.85,3,1,1,5,hibernating
RTL4737,183,6,9593.06,2,1,1,4,lost
RTL1348,350,3,4623.18,1,1,1,3,lost
RTL4046,329,2,2380.58,1,1,1,3,lost
RTL1465,237,2,3454.12,2,1,1,4,lost
RTL1167,122,3,14771.27,3,1,1,5,hibernating
RTL1083,361,1,5772.2,1,1,1,3,lost
RTL1726,620,1,289.89,1,1,1,3,lost
RTL1400,539,2,3676.62,1,1,1,3,lost
RTL3172,10,4,9539.16,4,1,1,6,hibernating
RTL1403,658,1,10493.14,1,1,1,3,lost
RTL2961,322,2,6782.5,1,1,1,3,lost
RTL1045,501,2,15173.4,1,1,1,3,lost
RTL2964,212,3,2168.04,2,1,1,4,lost
RTL4081,681,2,431.69,1,1,1,3,lost
RTL4363,270,3,20939.24,2,1,1,4,lost
RTL2638,56,3,15104.13,3,1,1,5,hibernating
RTL1144,278,2,6115.65,2,1,1,4,lost
RTL3968,75,2,2683.86,3,1,1,5,hibernating
RTL3843,769,1,14674.23,1,1,1,3,lost
RTL4835,22,3,17761.01,4,1,1,6,hibernating
RTL2496,144,4,45986.0,3,1,1,5,hibernating
RTL3888,147,4,4211.91,3,1,1,5,hibernating
RTL1429,488,2,2139.95,1,1,1,3,lost
RTL3488,234,2,5282.95,2,1,1,4,lost
RTL4537,65,3,8797.2,3,1,1,5,hibernating
RTL1108,265,4,9505.27,2,1,1,4,lost
RTL4274,233,4,17809.66,2,1,1,4,lost
RTL3892,113,5,26612.34,3,1,1,5,hibernating
RTL2668,341,2,12250.66,1,1,1,3,lost
RTL1074,167,4,1732910.82,2,1,4,7,at risk
RTL2359,189,6,11625.82,2,1,1,4,lost
RTL1625,191,5,16882.43,2,1,1,4,lost
RTL1145,185,2,1830.49,2,1,1,4,lost
RTL1411,352,3,7335.98,1,1,1,3,lost
RTL3453,279,1,7688.54,2,1,1,4,lost
RTL4322,333,3,10651.13,1,1,1,3,lost
RTL4157,326,1,2163.75,1,1,1,3,lost
RTL4513,452,3,3142.77,1,1,1,3,lost
RTL4307,5,4,584825.07,4,1,4,9,loyal
RTL1542,352,3,2521.47,1,1,1,3,lost
RTL4300,132,2,5683.25,3,1,1,5,hibernating
RTL1235,7,3,8155.31,4,1,1,6,hibernating
RTL2312,213,2,2747.78,2,1,1,4,lost
RTL2519,279,2,8259.14,2,1,1,4,lost
RTL4129,42,4,25504.59,4,1,1,6,hibernating
RTL1415,58,4,14511.96,3,1,1,5,hibernating
RTL4583,235,3,3160596.5,2,1,4,7,at risk
RTL2956,140,3,7594.24,3,1,1,5,hibernating
RTL4615,175,4,4573.44,2,1,1,4,lost
RTL1709,255,2,7354.03,2,1,1,4,lost
RTL3327,393,2,15566.61,1,1,1,3,lost
RTL2728,448,4,15439.85,1,1,1,3,lost
RTL1654,456,2,5560.26,1,1,1,3,lost
RTL3051,315,3,11931.73,1,1,1,3,lost
RTL2850,654,1,2203.48,1,1,1,3,lost
RTL4102,66,4,18300.78,3,1,1,5,hibernating
RTL1863,400,2,2737.93,1,1,1,3,lost
RTL3076,33,5,12883.13,4,1,1,6,hibernating
RTL1431,35,6,21423.87,4,1,1,6,hibernating
RTL4218,282,2,10088.8,2,1,1,4,lost
RTL4670,132,2,964.41,3,1,1,5,hibernating
RTL3024,174,1,960.0,2,1,1,4,lost
RTL3967,553,4,2832.2,1,1,1,3,lost
RTL1718,171,2,15936.76,2,1,1,4,lost
RTL2960,113,1,2025.21,3,1,1,5,hibernating
RTL1855,201,2,10400.04,2,1,1,4,lost
RTL1080,34,2,5795.55,4,1,1,6,hibernating
RTL1312,303,3,16300.57,1,1,1,3,lost
RTL2672,683,2,2354.86,1,1,1,3,lost
RTL2931,216,1,9571.92,2,1,1,4,lost
RTL1634,346,2,569.07,1,1,1,3,lost
RTL1208,158,2,1706.11,2,1,1,4,lost
RTL4642,53,4,2126829.5,3,1,4,8,at risk
RTL3363,203,5,10163.64,2,1,1,4,lost
RTL4571,213,1,102.29,2,1,1,4,lost
RTL3732,676,2,6859.02,1,1,1,3,lost
RTL3390,685,2,5953.18,1,1,1,3,lost
RTL3264,333,1,1139.89,1,1,1,3,lost
RTL2521,362,2,10248.06,1,1,1,3,lost
RTL2891,624,1,38.81,1,1,1,3,lost
RTL2930,17,2,1375.38,4,1,1,6,hibernating
RTL1476,345,2,3054.61,1,1,1,3,lost
RTL2478,275,1,259.05,2,1,1,4,lost
RTL4819,180,3,40117.13,2,1,1,4,lost
RTL3461,346,2,24155.57,1,1,1,3,lost
RTL2756,138,1,4610.45,3,1,1,5,hibernating
RTL2589,45,3,11846.87,4,1,1,6,hibernating
RTL4876,67,3,1477.8,3,1,1,5,hibernating
RTL3890,193,2,3589.86,2,1,1,4,lost
RTL4569,840,1,79.94,1,1,1,3,lost
RTL2461,483,1,91.49,1,1,1,3,lost
RTL1791,10,2,1792.05,4,1,1,6,hibernating
RTL2623,769,1,576927.2,1,1,4,6,hibernating
RTL2759,222,3,19442.01,2,1,1,4,lost
RTL2358,500,1,29172.69,1,1,1,3,lost
RTL4124,109,5,2019524.19,3,1,4,8,at risk
RTL4331,46,4,1510712.71,4,1,4,9,loyal
RTL4008,61,4,6280.64,3,1,1,5,hibernating
RTL2689,202,2,133514.01,2,1,3,6,hibernating
RTL4753,352,1,2815.44,1,1,1,3,lost
RTL1148,19,2,14097.99,4,1,1,6,hibernating
RTL1010,218,2,14241.29,2,1,1,4,lost
RTL4510,59,4,9295.89,3,1,1,5,hibernating
RTL4434,777,1,1590.86,1,1,1,3,lost
RTL3443,328,4,17585.53,1,1,1,3,lost
RTL3458,276,1,7799.8,2,1,1,4,lost
RTL2297,468,1,288.44,1,1,1,3,lost
RTL3302,459,1,8000.62,1,1,1,3,lost
RTL3303,141,3,19578.18,3,1,1,5,hibernating
RTL2493,73,2,4587.23,3,1,1,5,hibernating
RTL1427,99,4,18774.54,3,1,1,5,hibernating
RTL1711,113,2,3538.32,3,1,1,5,hibernating
RTL2433,16,6,23486.11,4,1,1,6,hibernating
RTL2953,220,1,10683.89,2,1,1,4,lost
RTL2469,379,2,872.02,1,1,1,3,lost
RTL3415,591,1,1235.82,1,1,1,3,lost
RTL4206,569,1,2875.82,1,1,1,3,lost
RTL2714,195,2,1051.66,2,1,1,4,lost
RTL1841,191,1,2637.04,2,1,1,4,lost
RTL3499,70,3,26182.73,3,1,1,5,hibernating
RTL1364,323,2,4504.39,1,1,1,3,lost
RTL2261,246,1,430.44,2,1,1,4,lost
RTL2952,547,1,578.95,1,1,1,3,lost
RTL4837,405,2,2824.4,1,1,1,3,lost
RTL1046,703,1,153.67,1,1,1,3,lost
RTL2495,595,1,2461.82,1,1,1,3,lost
RTL3866,81,6,229215.43,3,1,3,7,at risk
RTL4978,424,3,767401.4,1,1,4,6,hibernating
RTL3842,29,6,14466.57,4,1,1,6,hibernating
RTL2200,299,2,28483.98,2,1,1,4,lost
RTL4087,422,1,660.67,1,1,1,3,lost
RTL1342,355,3,11896.99,1,1,1,3,lost
RTL2944,37,5,1192940.54,4,1,4,9,loyal
RTL3794,57,4,20061.23,3,1,1,5,hibernating
RTL1745,84,2,5980.9,3,1,1,5,hibernating
RTL1633,3,2,9206.42,4,1,1,6,hibernating
RTL2774,191,3,8500.31,2,1,1,4,lost
